S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency,Victory Margin,PC Name,EVM Votes Counted,Postal Votes Counted,EVM Votes Polled,Difference,Margin,Difference > Margin,Postalvotes > Margin
21.0,DHARMENDRA TIWARI,Log Party,992.0,1.0,993.0,0.1,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
22.0,JOKHU PATEL,Sardar Patel Siddhant Party,969.0,2.0,971.0,0.1,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
23.0,SHRAWAN KUMAR TRIPATHI,Independent,849.0,2.0,851.0,0.09,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
24.0,DHYAN SINGH,Independent,675.0,3.0,678.0,0.07,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
25.0,PRAMOD KUMAR,Independent,672.0,2.0,674.0,0.07,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
26.0,MOHRAM ALI,Independent,501.0,2.0,503.0,0.05,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
27.0,NOTA,None of the Above,2869.0,22.0,2891.0,0.31,Uttar Pradesh,Pratapgarh - 39,,,,,,,,,
1.0,RAHUL GANDHI,Indian National Congress,686044.0,1605.0,687649.0,66.17,Uttar Pradesh,Rae Bareli - 36,390030.0,,,,,,,,
2.0,DINESH PRATAP SINGH,Bharatiya Janata Party,296703.0,916.0,297619.0,28.64,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
3.0,THAKUR PRASAD YADAV,Bahujan Samaj Party,21588.0,36.0,21624.0,2.08,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
4.0,DILEEP SINGH,Akhil Bhartiya Apna Dal,8676.0,2.0,8678.0,0.84,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
5.0,HORILAL,Independent,5397.0,2.0,5399.0,0.52,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
6.0,SUDARSHAN RAM,Bhartiya Panchsheel Party,4343.0,2.0,4345.0,0.42,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
7.0,HIND ROHITASH,Manavtawadi Samaj Party,3859.0,0.0,3859.0,0.37,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
8.0,MO MOBIN,Apna Dal (Kamerawadi),2173.0,1.0,2174.0,0.21,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
9.0,NOTA,None of the Above,7861.0,11.0,7872.0,0.76,Uttar Pradesh,Rae Bareli - 36,,,,,,,,,
1.0,MOHIBBULLAH,Samajwadi Party,481252.0,251.0,481503.0,49.74,Uttar Pradesh,Rampur - 7,87434.0,,,,,,,,
2.0,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,393154.0,915.0,394069.0,40.71,Uttar Pradesh,Rampur - 7,,,,,,,,,
3.0,ZEESHAN KHAN,Bahujan Samaj Party,79561.0,131.0,79692.0,8.23,Uttar Pradesh,Rampur - 7,,,,,,,,,
4.0,ARSHAD WARSI,Minorities Democratic Party,2919.0,8.0,2927.0,0.3,Uttar Pradesh,Rampur - 7,,,,,,,,,
5.0,MEHMOOD PRACHA,Independent,2750.0,9.0,2759.0,0.28,Uttar Pradesh,Rampur - 7,,,,,,,,,
6.0,SHIV PRASAD,Independent,1465.0,11.0,1476.0,0.15,Uttar Pradesh,Rampur - 7,,,,,,,,,
7.0,NOTA,None of the Above,5643.0,10.0,5653.0,0.58,Uttar Pradesh,Rampur - 7,,,,,,,,,
1.0,CHHOTELAL,Samajwadi Party,465240.0,608.0,465848.0,46.14,Uttar Pradesh,Robertsganj - 80,129234.0,,,,,,,,
2.0,RINKI SINGH,Apna Dal (Soneylal),336344.0,270.0,336614.0,33.34,Uttar Pradesh,Robertsganj - 80,,,,,,,,,
3.0,DHANESHWAR,Bahujan Samaj Party,118669.0,109.0,118778.0,11.77,Uttar Pradesh,Robertsganj - 80,,,,,,,,,
4.0,ASHOK KUMAR KANNAUJIYA,Communist Party of India,23830.0,22.0,23852.0,2.36,Uttar Pradesh,Robertsganj - 80,,,,,,,,,
5.0,SUBHAGI,Janhit Sankalp Party,8191.0,3.0,8194.0,0.81,Uttar Pradesh,Robertsganj - 80,,,,,,,,,
6.0,ARVIND KUMAR BHARTI,Rashtriya Samanta Dal,7583.0,9.0,7592.0,0.75,Uttar Pradesh,Robertsganj - 80,,,,,,,,,
7.0,SUKALU,Independent,6701.0,11.0,6712.0,0.66,Uttar Pradesh,Robertsganj - 80,,,,,,,,,
